User ID,Battery Capacity (kWh),Charging Station ID,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_BMW i3,Vehicle Model_Chevy Bolt,Vehicle Model_Hyundai Kona,Vehicle Model_Nissan Leaf,Vehicle Model_Tesla Model 3,Charging Station Location_Chicago,Charging Station Location_Houston,Charging Station Location_Los Angeles,Charging Station Location_New York,Charging Station Location_San Francisco,Charger Type_DC Fast Charger,Charger Type_Level 1,Charger Type_Level 2,User Type_Casual Driver,User Type_Commuter,User Type_Long-Distance Traveler
User_1,108.46300741284072,Station_391,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,2.0,1.0,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
User_13,100.0,Station_16,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.0655847520228034,5.523688619042968,10.972135997218215,1.0,0.0,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
User_14,75.0,Station_327,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,19.76909871755716,37.44185660286842,0.0,4.0,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
User_17,97.681812229825,Station_2,2024-01-01 16:00:00,2024-01-01 18:02:00,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,2.0,3.0,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
User_18,50.0,Station_10,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,2.0,4.0,57.59519511951953,74.96195034708379,22.00682916343814,18.40570905025936,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
User_24,100.0,Station_326,2024-01-01 23:00:00,2024-01-01 23:31:00,68.44712632026376,2.0714292092234388,49.71030696901287,38.40606169605943,0.0,4.0,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
User_30,75.0,Station_438,2024-01-02 05:00:00,2024-01-02 07:58:00,56.59325685914933,3.153257254972797,45.81173100244055,33.13209178024766,1.0,4.0,29.207671702279008,85.00810624066354,186.15573210131024,12.333415373869066,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
User_33,100.0,Station_198,2024-01-02 08:00:00,2024-01-02 09:58:00,16.136238725396332,1.306927271746284,21.517815048554308,26.438194237490425,2.0,0.0,23.603991432132744,88.2000728013921,35.50388319357353,39.38401391534167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
User_34,62.0,Station_211,2024-01-02 09:00:00,2024-01-02 12:03:00,60.06708508895625,0.9991001884039166,7.651570046980447,18.034390040505443,1.0,0.0,22.88146662593892,51.43427868199236,46.35755886056615,13.991597483206988,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
User_37,75.0,Station_45,2024-01-02 12:00:00,2024-01-02 15:10:00,39.940563619980615,3.470003433537161,28.62519932675557,15.85532743055342,2.0,3.0,85.85755579960261,50.403654740892144,102.43030218211146,31.46130901681466,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
